GIS_ID,Neighborhood Locations,Neighborhoods,CLUSTER,TotPop,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,Total%Pop,PctUnemployed,AvgFamilyIncAdj,NumOccupiedHsgUnits,PctOwnerOccupiedHsgUnits,PctPoorPersons,Rate of Violent Crimes,Property Crimes,Year
Nbclus_025,Northeast,"NoMa, Union Station, Stanton Park, Kingman Park",Cluster 25,30458,0.7,0.27,0.018,0.006,0.994,0.081,84050,12460,0.48,0.14,,,1/1/1990
Nbclus_026,Southeast,"Capitol Hill, Lincoln Park",Cluster 26,20909,0.35,0.56,0.052,0.034,0.996,0.04,186314,8324,0.57,0.06,7.3,38,1/1/2010
Nbclus_026,Southeast,"Capitol Hill, Lincoln Park",Cluster 26,18489,0.46,0.48,0.031,0.024,0.995,0.048,131428,8221,0.52,0.13,11,52,1/1/2000
Nbclus_026,Southeast,"Capitol Hill, Lincoln Park",Cluster 26,19849,0.51,0.46,0.017,0.013,1,0.045,117819,7637,0.51,0.1,,,1/1/1990
Nbclus_027,Southeast,"Near Southeast, Navy Yard",Cluster 27,5705,0.46,0.44,0.055,0.047,1.002,0.14,77952,3172,0.34,0.34,13,51,1/1/2010
Nbclus_027,Southeast,"Near Southeast, Navy Yard",Cluster 27,4633,0.89,0.072,0.03,0.005,0.997,0.22,37779,1974,0.17,0.5,40,135,1/1/2000
Nbclus_027,Southeast,"Near Southeast, Navy Yard",Cluster 27,5040,0.85,0.13,0.008,0.007,0.995,0.15,43360,1891,0.17,0.42,,,1/1/1990
Nbclus_028,Southeast,Historic Anacostia,Cluster 28,4876,0.97,0.013,0.009,0.002,0.994,0.17,34195,1864,0.21,0.44,25,38,1/1/2010
Nbclus_028,Southeast,Historic Anacostia,Cluster 28,4873,0.97,0.021,0.004,0.002,0.997,0.22,39636,1726,0.26,0.38,24,45,1/1/2000
Nbclus_028,Southeast,Historic Anacostia,Cluster 28,5689,0.96,0.029,0.008,0,0.997,0.14,44635,1974,0.24,0.33,,,1/1/1990
Nbclus_029,Northeast,"Eastland Gardens, Kenilworth",Cluster 29,2445,0.97,0.007,0.015,0.003,0.995,0.16,42821,786,0.38,0.41,13,57,1/1/2010
Nbclus_029,Northeast,"Eastland Gardens, Kenilworth",Cluster 29,2374,0.97,0.004,0.009,0.012,0.995,0.21,55983,722,0.43,0.28,20,37,1/1/2000
Nbclus_029,Northeast,"Eastland Gardens, Kenilworth",Cluster 29,1341,0.99,0.013,0,0,1.003,0.088,85127,506,0.68,0.098,,,1/1/1990
Nbclus_003,Northwest,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,12174,0.44,0.41,0.094,0.05,0.994,0.075,101583,5461,0.42,0.17,17,68,1/1/2010
Nbclus_003,Northwest,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,10128,0.67,0.18,0.12,0.017,0.987,0.085,72581,3957,0.33,0.26,28,113,1/1/2000
Nbclus_003,Northwest,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,10925,0.78,0.13,0.084,0.007,1.001,0.081,61652,4030,0.31,0.22,,,1/1/1990
Nbclus_030,Northeast,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,6573,0.97,0.007,0.022,0.002,1.001,0.25,37659,2883,0.25,0.32,21,47,1/1/2010
Nbclus_030,Northeast,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,6167,0.98,0.006,0.011,0.001,0.998,0.14,42978,2621,0.29,0.29,19,47,1/1/2000
Nbclus_030,Northeast,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,6342,0.99,0.003,0.005,0,0.998,0.089,49502,2461,0.27,0.23,,,1/1/1990
Nbclus_031,Northeast,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,14500,0.96,0.008,0.025,0.002,0.995,0.22,51670,5473,0.39,0.34,27,64,1/1/2010
Nbclus_031,Northeast,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,14113,0.98,0.007,0.006,0.001,0.994,0.17,52080,5298,0.46,0.29,23,53,1/1/2000
